,OPEID6L,INSTNM,CITY,STABBR,ZIP,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG_ALL,HIGHDEG,HBCU,PBI,HSI,NANTI,CCUGPROF,CCSIZSET,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,COSTT4_A,AVGFACSAL,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,FEMALE,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,GT_THRESHOLD_P10,CONTROL,Number of Unique Majors Offered (Bachelors,Co-Ed
1274,21661.0,Nunez Community College,Chalmette,LA,70043,0.0,0.0,,,2,0.0,1.0,0.0,0.0,1.0,2.0,0.366,0.4542,0.0657,0.0069,15542.0,5024.0,,,,,,0.6246556474,32500,28100,41800,0.55,,,True
1275,2006.0,Grambling State University,Grambling,LA,71245,0.0,0.0,0.9322,942.0,4,1.0,0.0,0.0,0.0,15.0,14.0,0.0064,0.8982,0.0137,0.0013,24332.0,5993.0,0.4211,1.0,0.4261,0.5,,0.5489778535,32800,31500,34100,0.5519,"Private, for-profit",4.0,True
1276,25822.0,Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,71105,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.5,0.3636,0.0455,0.0227,,,,,,,,PrivacySuppressed,21400,PrivacySuppressed,PrivacySuppressed,0.2813,,,True
1277,21662.0,ITI Technical College,Baton Rouge,LA,70817,0.0,0.0,,,2,0.0,0.0,0.0,0.0,4.0,2.0,0.5489,0.3847,0.0232,0.0083,23769.0,4396.0,,,,,,0.1841317365,59900,PrivacySuppressed,PrivacySuppressed,0.7329,,,True
1278,22656.0,John Jay Beauty College,Kenner,LA,70062,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.6341,0.1829,0.061,0.0854,,,,,,,,PrivacySuppressed,23800,PrivacySuppressed,PrivacySuppressed,0.3036,,,True
1279,2014.0,Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,70112-2223,0.0,0.0,,,4,0.0,0.0,0.0,0.0,7.0,10.0,0.7102,0.135,0.0686,0.0564,,8412.0,,,,,,0.8409638554,99800,81100,168200,0.8974,"Private, nonprofit",4.0,True
1280,2011.0,Louisiana State University-Alexandria,Alexandria,LA,71302-9121,0.0,0.0,0.6354,1042.0,3,0.0,0.0,0.0,1.0,7.0,9.0,0.6412,0.1951,0.0209,0.0156,14207.0,6012.0,0.3122,0.3278,0.2879,0.25,0.25,0.6816655473,36300,32900,45600,0.6136,"Private, nonprofit",7.0,True
1281,2010.0,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,0.0,0.0,0.7338,1229.0,4,0.0,0.0,0.0,0.0,14.0,15.0,0.6727,0.147,0.0773,0.0465,32724.0,10089.0,0.6956,0.7192,0.5651,0.6602,0.7375,0.5727889193,60100,49800,71800,0.8122,"Private, for-profit",1.0,True
1282,2012.0,Louisiana State University-Eunice,Eunice,LA,70535,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,2.0,0.6444,0.2665,0.0302,0.0067,15664.0,5553.0,,,,,,0.738238842,36700,30400,50900,0.5653,"Private, nonprofit",23.0,True
1283,2013.0,Louisiana State University-Shreveport,Shreveport,LA,71115-2399,0.0,0.0,0.8268,1133.0,4,0.0,0.0,0.0,0.0,9.0,12.0,0.5017,0.2074,0.0581,0.0144,19065.0,8091.0,0.3694,0.3627,0.3607,0.3125,0.6667,0.6644897959,41000,36400,49000,0.6915,"Private, nonprofit",31.0,True
1284,22584.0,Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,70816-2246,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.3768,0.5652,0.0145,0.0217,,,,,,,,0.9567099567,25300,PrivacySuppressed,PrivacySuppressed,0.3627,,,True
1285,21178.0,Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,70503-3246,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.7059,0.2157,0.0261,0.0,,,,,,,,0.9333333333,23100,PrivacySuppressed,PrivacySuppressed,0.3171,,,True
1286,25364.0,Louisiana Academy of Beauty,Eunice,LA,70535,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.8846,0.1154,0.0,0.0,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
1287,2007.0,Louisiana College,Pineville,LA,71359,0.0,0.0,0.7116,1082.0,4,0.0,0.0,0.0,0.0,13.0,11.0,0.6394,0.2765,0.023,0.0115,27669.0,5746.0,0.3362,0.4196,0.1897,0.5,,0.4404145078,48300,40900,57500,0.7577,"Private, for-profit",1.0,True
1288,26011.0,Opelousas School of Cosmetology,Opelousas,LA,70570,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.4706,0.4706,0.0,0.0588,,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,,True
1289,2008.0,Louisiana Tech University,Ruston,LA,71272,0.0,0.0,0.6357,1216.0,4,0.0,0.0,0.0,0.0,14.0,16.0,0.7266,0.1151,0.0429,0.0134,21927.0,7908.0,0.6142,0.6474,0.4706,0.6491,0.7333,0.4864058355,49200,38300,59700,0.7456,"Private, nonprofit",69.0,True
1290,2016.0,Loyola University New Orleans,New Orleans,LA,70118-6143,0.0,0.0,0.7239,1160.0,4,0.0,0.0,0.0,0.0,14.0,14.0,0.4501,0.1851,0.1985,0.0318,54417.0,8463.0,0.5888,0.6333,0.5612,0.5604,0.5714,0.6433239963,52300,49500,57000,0.7479,"Private, nonprofit",27.0,True
